856609,278,7/22/2015 7:11,Temporary Transbay Terminal (Howard at Beale),55,7/22/2015 7:15,Clay at Battery,41,551,Subscriber,94105
856608,272,7/22/2015 7:11,Mountain View Caltrain Station,28,7/22/2015 7:15,Castro Street and El Camino Real,32,10,Subscriber,94118
856607,633,7/22/2015 7:10,Harry Bridges Plaza (Ferry Building),50,7/22/2015 7:21,San Francisco Caltrain (Townsend at 4th),70,340,Subscriber,94939
856606,700,7/22/2015 7:10,San Francisco Caltrain (Townsend at 4th),70,7/22/2015 7:22,Embarcadero at Folsom,51,259,Subscriber,94402
856605,676,7/22/2015 7:09,San Francisco Caltrain 2 (330 Townsend),69,7/22/2015 7:20,Market at Sansome,77,538,Subscriber,94402
856604,620,7/22/2015 7:09,San Francisco Caltrain (Townsend at 4th),70,7/22/2015 7:19,Post at Kearny,47,547,Subscriber,94401
856603,655,7/22/2015 7:08,San Francisco Caltrain (Townsend at 4th),70,7/22/2015 7:19,Temporary Transbay Terminal (Howard at Beale),55,533,Subscriber,95112
856602,995,7/22/2015 7:08,San Francisco Caltrain (Townsend at 4th),70,7/22/2015 7:25,Embarcadero at Sansome,60,448,Subscriber,95111
856601,212,7/22/2015 7:08,Townsend at 7th,65,7/22/2015 7:12,San Francisco Caltrain 2 (330 Townsend),69,338,Subscriber,94044
856598,455,7/22/2015 7:08,Civic Center BART (7th at Market),72,7/22/2015 7:15,Townsend at 7th,65,405,Subscriber,94582
856596,647,7/22/2015 7:07,Temporary Transbay Terminal (Howard at Beale),55,7/22/2015 7:17,Golden Gate at Polk,59,86,Subscriber,94530
856590,1106,7/22/2015 7:05,Embarcadero at Folsom,51,7/22/2015 7:23,Townsend at 7th,65,630,Subscriber,94501
856589,484,7/22/2015 7:03,Steuart at Market,74,7/22/2015 7:11,2nd at Townsend,61,366,Subscriber,94588
856584,329,7/22/2015 7:00,Grant Avenue at Columbus Avenue,73,7/22/2015 7:05,Post at Kearny,47,599,Subscriber,94111
856583,429,7/22/2015 6:59,Grant Avenue at Columbus Avenue,73,7/22/2015 7:07,Mechanics Plaza (Market at Battery),75,517,Subscriber,94133
856581,442,7/22/2015 6:58,Davis at Jackson,42,7/22/2015 7:05,Post at Kearny,47,606,Subscriber,94111
856580,369,7/22/2015 6:58,Yerba Buena Center of the Arts (3rd @ Howard),68,7/22/2015 7:04,San Francisco Caltrain (Townsend at 4th),70,547,Subscriber,94105
856579,247,7/22/2015 6:56,San Jose Diridon Caltrain Station,2,7/22/2015 7:01,Santa Clara at Almaden,4,682,Subscriber,95020
856578,344,7/22/2015 6:50,Commercial at Montgomery,45,7/22/2015 6:56,2nd at Folsom,62,877,Subscriber,94133
856577,480,7/22/2015 6:49,Temporary Transbay Terminal (Howard at Beale),55,7/22/2015 6:57,Market at 4th,76,531,Subscriber,94501
856576,717,7/22/2015 6:48,Beale at Market,56,7/22/2015 7:00,Embarcadero at Sansome,60,502,Subscriber,94619
856575,905,7/22/2015 6:47,San Francisco Caltrain 2 (330 Townsend),69,7/22/2015 7:03,Embarcadero at Sansome,60,537,Subscriber,95129
856574,416,7/22/2015 6:47,Embarcadero at Sansome,60,7/22/2015 6:54,Temporary Transbay Terminal (Howard at Beale),55,69,Subscriber,94111
856573,378,7/22/2015 6:46,Market at 10th,67,7/22/2015 6:52,San Francisco Caltrain (Townsend at 4th),70,406,Subscriber,94102
856572,414,7/22/2015 6:46,San Francisco Caltrain (Townsend at 4th),70,7/22/2015 6:53,Embarcadero at Bryant,54,590,Subscriber,95008
856571,739,7/22/2015 6:46,San Francisco Caltrain (Townsend at 4th),70,7/22/2015 6:58,Harry Bridges Plaza (Ferry Building),50,398,Subscriber,94111
856570,933,7/22/2015 6:45,San Francisco Caltrain (Townsend at 4th),70,7/22/2015 7:01,Temporary Transbay Terminal (Howard at Beale),55,86,Subscriber,94030
856569,779,7/22/2015 6:45,San Francisco Caltrain (Townsend at 4th),70,7/22/2015 6:58,Temporary Transbay Terminal (Howard at Beale),55,368,Subscriber,94030
856568,281,7/22/2015 6:38,Santa Clara at Almaden,4,7/22/2015 6:43,San Jose Diridon Caltrain Station,2,65,Subscriber,95110
856567,1201,7/22/2015 6:37,Steuart at Market,74,7/22/2015 6:57,Townsend at 7th,65,389,Subscriber,94568
856566,211,7/22/2015 6:37,2nd at Townsend,61,7/22/2015 6:40,San Francisco Caltrain (Townsend at 4th),70,356,Subscriber,95134
856565,4890,7/22/2015 6:35,Powell at Post (Union Square),71,7/22/2015 7:56,Powell at Post (Union Square),71,501,Customer,2129
856564,562,7/22/2015 6:34,San Francisco Caltrain (Townsend at 4th),70,7/22/2015 6:44,Embarcadero at Folsom,51,275,Subscriber,94107
856563,273,7/22/2015 6:34,San Pedro Square,6,7/22/2015 6:39,San Jose Diridon Caltrain Station,2,682,Subscriber,95112
856562,607,7/22/2015 6:33,Davis at Jackson,42,7/22/2015 6:44,San Francisco Caltrain (Townsend at 4th),70,533,Subscriber,94111
856561,441,7/22/2015 6:29,Temporary Transbay Terminal (Howard at Beale),55,7/22/2015 6:36,Broadway St at Battery St,82,503,Subscriber,94610
856560,348,7/22/2015 6:23,Yerba Buena Center of the Arts (3rd @ Howard),68,7/22/2015 6:29,Steuart at Market,74,573,Subscriber,94107
856559,378,7/22/2015 6:22,Harry Bridges Plaza (Ferry Building),50,7/22/2015 6:28,2nd at Folsom,62,609,Subscriber,94901
856558,313,7/22/2015 6:20,Temporary Transbay Terminal (Howard at Beale),55,7/22/2015 6:25,Commercial at Montgomery,45,877,Subscriber,94611
856557,468,7/22/2015 6:17,Powell Street BART,39,7/22/2015 6:24,San Francisco Caltrain 2 (330 Townsend),69,631,Subscriber,94107
856556,448,7/22/2015 6:13,Townsend at 7th,65,7/22/2015 6:21,South Van Ness at Market,66,322,Subscriber,94107
856555,542,7/22/2015 6:11,Market at 10th,67,7/22/2015 6:20,Mechanics Plaza (Market at Battery),75,482,Subscriber,94102
856554,743,7/22/2015 6:06,Temporary Transbay Terminal (Howard at Beale),55,7/22/2015 6:19,Golden Gate at Polk,59,277,Subscriber,94591
856553,419,7/22/2015 6:02,San Francisco Caltrain 2 (330 Townsend),69,7/22/2015 6:09,2nd at Folsom,62,422,Subscriber,94002
856552,338,7/22/2015 5:50,Beale at Market,56,7/22/2015 5:56,Broadway St at Battery St,82,500,Subscriber,94610
856551,734,7/22/2015 5:49,Grant Avenue at Columbus Avenue,73,7/22/2015 6:01,San Francisco Caltrain (Townsend at 4th),70,86,Subscriber,94133
856550,781,7/22/2015 5:46,Japantown,9,7/22/2015 5:59,San Jose Civic Center,3,20,Subscriber,94104
856548,377,7/22/2015 5:39,Powell Street BART,39,7/22/2015 5:45,San Francisco Caltrain 2 (330 Townsend),69,421,Subscriber,94107
856547,585,7/22/2015 5:34,Embarcadero at Sansome,60,7/22/2015 5:44,2nd at Townsend,61,563,Subscriber,94111
856546,1050,7/22/2015 5:27,MLK Library,11,7/22/2015 5:45,Japantown,9,20,Subscriber,94104
856545,263,7/22/2015 5:23,Grant Avenue at Columbus Avenue,73,7/22/2015 5:27,Market at Sansome,77,288,Subscriber,94133
856544,286,7/22/2015 5:22,Grant Avenue at Columbus Avenue,73,7/22/2015 5:27,Market at Sansome,77,315,Subscriber,94133
856543,993,7/22/2015 5:10,San Jose Civic Center,3,7/22/2015 5:27,MLK Library,11,20,Subscriber,94104
856542,708,7/22/2015 5:08,Market at 10th,67,7/22/2015 5:20,Washington at Kearny,46,497,Subscriber,94102
856541,618,7/22/2015 4:58,Embarcadero at Bryant,54,7/22/2015 5:08,Embarcadero at Sansome,60,563,Subscriber,94105
856540,647,7/22/2015 4:50,2nd at South Park,64,7/22/2015 5:01,Market at Sansome,77,416,Subscriber,94107
856539,514,7/22/2015 4:53,5th at Howard,57,7/22/2015 5:02,Steuart at Market,74,401,Subscriber,94112
856538,366,7/22/2015 4:24,Market at 10th,67,7/22/2015 4:30,Townsend at 7th,65,322,Subscriber,94102
856537,997,7/22/2015 4:14,Townsend at 7th,65,7/22/2015 4:30,Howard at 2nd,63,425,Subscriber,94107
856536,882,7/22/2015 2:48,Spear at Folsom,49,7/22/2015 3:03,Golden Gate at Polk,59,464,Subscriber,94109
856535,241,7/22/2015 1:31,South Van Ness at Market,66,7/22/2015 1:35,Golden Gate at Polk,59,534,Subscriber,94109
856534,351,7/22/2015 1:03,Powell Street BART,39,7/22/2015 1:09,San Francisco Caltrain 2 (330 Townsend),69,407,Subscriber,94102
856533,776,7/22/2015 0:44,San Francisco Caltrain 2 (330 Townsend),69,7/22/2015 0:57,Market at 10th,67,540,Subscriber,94107
